Requirement ID,Requirement Text,Epic (Req),epic,story_id,user_story,acceptance_criteria,priority,dependencies,non_functional,assumptions,open_questions,citations,alignment_score,needs_review,Story Id,Citations,Test Case Count,Coverage Status
AUTO-1,. Software Requirements Specification for Day Health Manager Version 1.1 Prepared by 4yourhealth Senior Project 2015,General,,1c769068-d34b-4f3f-8773-a47b85b317e9,"As a Doctor, I want to access patient information through a web-based Clinician Portal, so that I can efficiently review patient data and modify information in the database.","[{'given': 'I am a Doctor logged into the Clinician Portal.', 'when': ""I navigate to a patient's record."", 'then': 'I can view and modify patient information in the database.'}, {'given': 'I am a Doctor using the Clinician Portal.', 'when': 'I access the application through a browser.', 'then': 'The interface is easy to learn and navigate quickly.'}]",Must,[],"['The Clinician Portal must comply with HIPAA regulations.', 'The Clinician Portal must comply with FDA 21 CFR Part 11 regulations.']",[],[],"[{'page': 13, 'snippet': '4.1.1.Clinician\xa0Portal As\xa0a\xa0web\xadbased\xa0application,\xa0will\xa0be\xa0the\xa0primary\xa0channel\xa0through\xa0which\xa0users\xa0access\xa0or modify\xa0any\xa0information\xa0in\xa0the\xa0database.'}, {'page': 13, 'snippet': 'The\xa0interface\xa0must\xa0be\xa0easy\xa0to learn\xa0and\xa0navigate\xa0quickly.'}]",0.0,True,1c769068-d34b-4f3f-8773-a47b85b317e9,"p13:4.1.1.Clinician Portal As a web­based application, will be the primary channel t; p13:The interface must be easy to learn and navigate quickly.",2,✅ Covered
2,/10/2015 Table of Contents Table of Contents Revision History Introduction Purpose Document Conventions Intended Audience and Reading Suggestion Project Scope References Overall Description Product Perspective Product Features User Classes and Characteristics Operating Environment Design and Implementation Constraints User Documentation Assumptions and Dependencies System Features External Interface Requirements User Interfaces Hardware Interfaces Software Interfaces Communications Interfaces Other Nonfunctional Requirements Performance Requirements Safety Requirements Security Requirements Software Quality Attributes Other Requirements Revision History Name Date Reason For Changes Version Zachary Nielsen 2/10/15 Initial creation 1.0.0 Zachary Nielsen 3/07/15 Customer request 1.1.0 Daniel Hudy 4/28/15 Revision after Session App changes 1.2.0,General,,500e0684-4312-4151-a3b7-c3dd1dcf7009,"As a Doctor, I want to view audit reports of patient data changes, so that I can ensure data integrity and compliance.","[{'given': 'I am logged in as a Doctor.', 'when': 'I request an audit report for a specific patient.', 'then': 'I should see a report showing the history of additions, changes, and deletions of documents and data, per user.'}]",Must,[],"['Audit logs must be compliant with HIPAA and FDA 21 CFR Part 11.', 'Audit reports must be generated in a timely manner.']",[],[],"[{'page': 8, 'snippet': '2.3.3.15.\xad\xa0Reports\xa0which\xa0show\xa0auditing\xa0history,\xa0per\xa0user\xa0or\xa0per\xa0patient.'}]",0.0,True,500e0684-4312-4151-a3b7-c3dd1dcf7009,"p8:2.3.3.15.­ Reports which show auditing history, per user or per patient.",1,✅ Covered
2,/10/2015 Table of Contents Table of Contents Revision History Introduction Purpose Document Conventions Intended Audience and Reading Suggestion Project Scope References Overall Description Product Perspective Product Features User Classes and Characteristics Operating Environment Design and Implementation Constraints User Documentation Assumptions and Dependencies System Features External Interface Requirements User Interfaces Hardware Interfaces Software Interfaces Communications Interfaces Other Nonfunctional Requirements Performance Requirements Safety Requirements Security Requirements Software Quality Attributes Other Requirements Revision History Name Date Reason For Changes Version Zachary Nielsen 2/10/15 Initial creation 1.0.0 Zachary Nielsen 3/07/15 Customer request 1.1.0 Daniel Hudy 4/28/15 Revision after Session App changes 1.2.0,General,,43c457f2-1664-4641-9584-575ef7fa8daf,"As a Doctor, I want to view patient data in the clinician portal so that I can effectively manage patient care.","[{'given': 'I am a logged-in Doctor in the clinician portal.', 'when': 'I select a patient.', 'then': ""I should see the patient's relevant clinical information and documents organized in a meaningful way.""}]",Must,[],"['The system must comply with HIPAA regulations.', 'The system must comply with FDA 21 CFR Part 11 regulations.']",[],[],"[{'page': 6, 'snippet': 'A\xa0clinician\xa0portal\xa0is\xa0required\xa0to\xa0present\xa0and\xa0organize\xa0the\xa0contents\xa0of\xa0the\xa0database.\xa0This is\xa0the'}, {'page': 6, 'snippet': 'The\xa0database’s\xa0role\xa0will\xa0be\xa0to\xa0host\xa0relevant\xa0documents\xa0and relate\xa0patient\xa0and\xa0clinical\xa0information\xa0in\xa0a\xa0meaningful\xa0way.'}]",0.0,True,43c457f2-1664-4641-9584-575ef7fa8daf,p6:A clinician portal is required to present and organize the contents of the datab; p6:The database’s role will be to host relevant documents and relate patient and cl,1,✅ Covered
1,.Introduction,General,,dfdaa63c-66d2-43b9-b9b4-ce5fa47516dc,"As a Day Health staff member, I want to digitize patient assessments and care plans, so that I can automate tracking of individuals through the program and improve the current physical workflow.","[{'given': 'I am a Day Health staff member using the Trillium Health Day Health Manager system.', 'when': 'I access the system to manage patient information.', 'then': 'I should be able to create and store digital versions of patient assessments and care plans.'}, {'given': 'Digital patient assessments and care plans are stored in the system.', 'when': 'A patient signs in or out of the Day Health program.', 'then': ""The system should automatically track the individual's progress through the program.""}]",Must,[],[],[],[],"[{'page': 4, 'snippet': 'The\xa0Trillium\xa0Health\xa0Day\xa0Health\xa0Manager\xa0is\xa0a\xa0system\xa0primarily\xa0used\xa0to\xa0assist\xa0Day\xa0Health staff\xa0in\xa0the\xa0tracking\xa0and\xa0care\xa0of\xa0patients\xa0in\xa0their\xa0Day\xa0Health\xa0program\xa0by\xa0multiple\xa0means.'}, {'page': 4, 'snippet': 'An important\xa0assistive\xa0activity\xa0the\xa0system\xa0provides\xa0is\xa0to\xa0digitize\xa0what\xa0are\xa0currently\xa0physical\xa0artifacts such\xa0as\xa0patient\xa0assessments,\xa0care\xa0plans,\xa0and\xa0patient\xa0sign\xa0in/outs.'}, {'page': 4, 'snippet': 'As\xa0an\xa0improvement\xa0to\xa0the current\xa0physical\xa0workflow,\xa0the\xa0system\xa0will\xa0automate\xa0tracking\xa0of\xa0individuals\xa0through\xa0the\xa0program.'}]",0.0,True,dfdaa63c-66d2-43b9-b9b4-ce5fa47516dc,"p4:The Trillium Health Day Health Manager is a system primarily used to assist Day ; p4:An important assistive activity the system provides is to digitize what are curr; p4:As an improvement to the current physical workflow, the system will automate tra",2,✅ Covered
1.1,".Purpose The Trillium Health Day Health Manager is a system primarily used to assist Day Health staff in the tracking and care of patients in their Day Health program by multiple means. An important assistive activity the system provides is to digitize what are currently physical artifacts such as patient assessments, care plans, and patient sign in/outs. As an improvement to the current physical workflow, the system will automate tracking of individuals through the program. In addition, the system will assist the staff in clerical duties such as billing, report generation, overseeing compliance with patients care plans, and providing tools to assist in the case of an audit. The system will accomplish these goals through the implementation of a desktop interface, database, and mobile application. The Clinician Portal will assist the Day Health staff in the creation and retrieval of their electronic medical records, billing, and report generation. The database will persistently track the status of the individuals enrolled in their program, and the mobile application will assist patients with signing in and out.",General,Digitize patient records and automate tracking.,08e6b31b-436b-421d-af68-f862c5d528e1,"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.","[{'given': 'the Nurse is logged into the Clinician Portal', 'when': 'the Nurse selects a patient', 'then': 'the Nurse can view digitized assessments and care plans for that patient.'}]",Must,[],"['The system must comply with HIPAA regulations.', 'The system must comply with FDA 21 CFR Part 11 regulations.']",[],[],"[{'page': 4, 'snippet': 'The\xa0Trillium\xa0Health\xa0Day\xa0Health\xa0Manager\xa0is\xa0a\xa0system\xa0primarily\xa0used\xa0to\xa0assist\xa0Day\xa0Health staff\xa0in\xa0the\xa0tracking\xa0and\xa0care\xa0of\xa0patients\xa0in\xa0their\xa0Day\xa0Health\xa0program\xa0by\xa0multiple\xa0means.'}, {'page': 4, 'snippet': 'An important\xa0assistive\xa0activity\xa0the\xa0system\xa0provides\xa0is\xa0to\xa0digitize\xa0what\xa0are\xa0currently\xa0physical\xa0artifacts such\xa0as\xa0patient\xa0assessments,\xa0care\xa0plans,\xa0and\xa0patient\xa0sign\xa0in/outs.'}, {'page': 6, 'snippet': 'A\xa0clinician\xa0portal\xa0is\xa0required\xa0to\xa0present\xa0and\xa0organize\xa0the\xa0contents\xa0of\xa0the\xa0database.'}]",0.449,False,08e6b31b-436b-421d-af68-f862c5d528e1,p4:The Trillium Health Day Health Manager is a system primarily used to assist Day ; p4:An important assistive activity the system provides is to digitize what are curr; p6:A clinician portal is required to present and organize the contents of the datab,1,✅ Covered
1.2,".Document Conventions This document has been broken into three parts under most sections to cover the three fundamental parts of the application, the database, the Clinician Portal, and the session application. This document is modeled after the SRS template from the Software Requirements and Architecture class [A:1]. Throughout the document we reference different appendices, these references will be noted with the following convention: [Appendix Letter:Item Number]. For example the notation for referencing item one in appendix A (The SRS Template) would be [A:1].",General,,5aba8e2f-ea8b-49af-851e-9c4e8523fc7a,"As a Day Health staff member, I want to digitize patient assessments, care plans, and sign in/outs so that I can automate tracking of individuals through the program and improve the current physical workflow.","[{'given': 'I am a Day Health staff member', 'when': 'I access the Trillium Health Day Health Manager system', 'then': 'I can digitize patient assessments, care plans, and patient sign in/outs.'}, {'given': 'I have digitized patient information', 'when': 'The system tracks individuals through the program', 'then': 'The tracking is automated.'}]",Must,[],[],[],[],"[{'page': 4, 'snippet': 'The\xa0Trillium\xa0Health\xa0Day\xa0Health\xa0Manager\xa0is\xa0a\xa0system\xa0primarily\xa0used\xa0to\xa0assist\xa0Day\xa0Health staff\xa0in\xa0the\xa0tracking\xa0and\xa0care\xa0of\xa0patients\xa0in\xa0their\xa0Day\xa0Health\xa0program\xa0by\xa0multiple\xa0means.'}, {'page': 4, 'snippet': 'An important\xa0assistive\xa0activity\xa0the\xa0system\xa0provides\xa0is\xa0to\xa0digitize\xa0what\xa0are\xa0currently\xa0physical\xa0artifacts such\xa0as\xa0patient\xa0assessments,\xa0care\xa0plans,\xa0and\xa0patient\xa0sign\xa0in/outs.'}, {'page': 4, 'snippet': 'As\xa0an\xa0improvement\xa0to\xa0the current\xa0physical\xa0workflow,\xa0the\xa0system\xa0will\xa0automate\xa0tracking\xa0of\xa0individuals\xa0through\xa0the\xa0program.'}]",0.012,True,5aba8e2f-ea8b-49af-851e-9c4e8523fc7a,"p4:The Trillium Health Day Health Manager is a system primarily used to assist Day ; p4:An important assistive activity the system provides is to digitize what are curr; p4:As an improvement to the current physical workflow, the system will automate tra",2,✅ Covered
1.3,".Intended Audience and Reading Suggestion The intended audience of this document is all major stakeholders which include the development team, the project owner, the project customer, the senior project advisor (Professor Hawker), and anyone evaluating the project. It is recommended that you check out our team’s website and the documents hosted there for better background on the project, process, and the team.",General,,3d21ba8d-59f4-4cdf-998b-7d43d16e41e9,"As a Doctor, I want to access patient data through the Clinician Portal so that I can review patient history and current status.","[{'given': 'I am a logged-in Doctor in the Clinician Portal.', 'when': 'I search for and select a patient.', 'then': ""I can view the patient's relevant data stored in the database.""}]",Must,[],"['The system must comply with HIPAA regulations.', 'The system must comply with FDA 21 CFR Part 11 regulations.']",[],[],"[{'page': 4, 'snippet': 'database,\xa0the\xa0Clinician\xa0Portal,\xa0and\xa0the\xa0session application.'}, {'page': 5, 'snippet': 'The\xa0scope\xa0primarily\xa0consists\xa0of three\xa0parts,\xa0the\xa0database,\xa0the\xa0clinician\xa0portal,\xa0and\xa0the\xa0session\xa0application.'}]",0.0,True,3d21ba8d-59f4-4cdf-998b-7d43d16e41e9,"p4:database, the Clinician Portal, and the session application.; p5:The scope primarily consists of three parts, the database, the clinician portal,",1,✅ Covered
1.4,".Project Scope The scope for this project includes everything Trillium needs to replace their current system with our system in addition to a couple of extra features. The scope primarily consists of three parts, the database, the clinician portal, and the session application. The three of those parts each have a distinct scope. The database must be able to track all of the data that Trillium is looking to store. A huge part of this involves scanning and storing documents on a per patient basis. Each document may have different pieces of data that need to be tracked in the database. The database will be in charge of keeping track of what pieces of data each document is associated with as well as storing each instance of that data that has been input. The database will also store session data from each of Trillium’s patient sessions. This includes everything from departure and arrival times, session notes, and individual session notes. More specifics on data to be stored can be found in the product features section. The clinician portal is the primary user interface for our system. This will be a web application accessible from any compatible web browser. The clinician portal has 3 major parts: patients, sessions, and statistics/billing. The patients section will be where the user can add, modify, or check any patient data stored in the system. This includes basic functionality such as adding a new patient, adding a new scanned document to a patient, or checking on a patient’s basic info. The session section is where a user can go to add, modify, or check on any session data. This includes functionality such as scheduling a new session, modifying a session leader, or checking which classes are scheduled on a specific day. The third basic part is statistics/billing. The statistics/billing section will be where the user can find tools that are able to run tracking associated with patient data and billing. This may involve a tool that can get the patients that are billable for the week or similar tools. The session application is used by session leaders to standardize attendance tracking and session note­keeping. The session application will primarily be used to keep track of patients signing in to sessions. The session application will interface with a fingerprint scanner that the user will need to use to sign into a session. This gives Trillium a unique and precise timestamp for each individual that will allow them to determine how long a patient has been at each session.",General,"Replace Trillium's current system with a new system including database, clinician portal, and session application.",e5e412d7-0c63-42d6-9854-180ded7738ff,"As a Doctor, I want to view patient data stored in the system so that I can effectively manage patient care.","[{'given': 'the Doctor is logged into the clinician portal', 'when': 'the Doctor selects a patient', 'then': 'the Doctor should be able to view all relevant patient data, including scanned documents and session information.'}]",Must,[],"['The system must comply with HIPAA regulations.', 'The system must comply with FDA 21 CFR Part 11 regulations.']",[],[],"[{'page': 5, 'snippet': 'The\xa0scope\xa0for\xa0this\xa0project\xa0includes\xa0everything\xa0Trillium\xa0needs\xa0to\xa0replace\xa0their\xa0current system\xa0with\xa0our\xa0system\xa0in\xa0addition\xa0to\xa0a\xa0couple\xa0of\xa0extra\xa0features.'}, {'page': 5, 'snippet': 'The\xa0clinician\xa0portal\xa0is\xa0the\xa0primary\xa0user\xa0interface\xa0for\xa0our\xa0system.'}, {'page': 5, 'snippet': 'The\xa0patients\xa0section\xa0will\xa0be\xa0where\xa0the\xa0user\xa0can\xa0add, modify,\xa0or\xa0check\xa0any\xa0patient\xa0data\xa0stored\xa0in\xa0the\xa0system.'}]",0.234,False,e5e412d7-0c63-42d6-9854-180ded7738ff,"p5:The scope for this project includes everything Trillium needs to replace their c; p5:The clinician portal is the primary user interface for our system.; p5:The patients section will be where the user can add, modify, or check any patien",1,✅ Covered
1.5,.References Title Corresponding File/Address Team Website http://www.se.rit.edu/~foryourhealth/,General,,4635d6f2-0127-4824-a06f-fdd1c02244d6,"As a Doctor, I want to add, modify, or check any patient data stored in the system, so that I can effectively manage patient information and provide appropriate care.","[{'given': 'I am logged in as a Doctor.', 'when': 'I access the patient data management section.', 'then': 'I should be able to add new patient records, modify existing patient information, and view patient details.'}]",Must,[],"['The system must comply with HIPAA regulations.', 'The system must comply with FDA 21 CFR Part 11.']",[],[],"[{'page': 5, 'snippet': 'user\xa0can\xa0add, modify,\xa0or\xa0check\xa0any\xa0patient\xa0data\xa0stored\xa0in\xa0the\xa0system.\xa0This\xa0includes\xa0basic\xa0functionality\xa0such\xa0as adding\xa0a\xa0new\xa0patient,\xa0adding\xa0a\xa0new\xa0scanned\xa0document\xa0to\xa0a\xa0patient,\xa0or\xa0checking\xa0on\xa0a\xa0patient’s basic\xa0info.'}]",0.0,True,4635d6f2-0127-4824-a06f-fdd1c02244d6,"p5:user can add, modify, or check any patient data stored in the system. This inclu",1,✅ Covered
2,.Overall Description,General,,500e0684-4312-4151-a3b7-c3dd1dcf7009,"As a Doctor, I want to view audit reports of patient data changes, so that I can ensure data integrity and compliance.","[{'given': 'I am logged in as a Doctor.', 'when': 'I request an audit report for a specific patient.', 'then': 'I should see a report showing the history of additions, changes, and deletions of documents and data, per user.'}]",Must,[],"['Audit logs must be compliant with HIPAA and FDA 21 CFR Part 11.', 'Audit reports must be generated in a timely manner.']",[],[],"[{'page': 8, 'snippet': '2.3.3.15.\xad\xa0Reports\xa0which\xa0show\xa0auditing\xa0history,\xa0per\xa0user\xa0or\xa0per\xa0patient.'}]",0.0,True,500e0684-4312-4151-a3b7-c3dd1dcf7009,"p8:2.3.3.15.­ Reports which show auditing history, per user or per patient.",1,✅ Covered
