requirement_id,story_id,epic,priority,scenario_id,tags,pages
1.1,08e6b31b-436b-421d-af68-f862c5d528e1,Digitize patient records and automate tracking.,Must,08e6b31b-436b-421d-af68-f862c5d528e1_AC1,@priority_Must @req_1.1 @FDA21CFR11 @HIPAA,4;6
1.4,e5e412d7-0c63-42d6-9854-180ded7738ff,"Replace Trillium's current system with a new system including database, clinician portal, and session application.",Must,e5e412d7-0c63-42d6-9854-180ded7738ff_AC1,@priority_Must @req_1.4 @FDA21CFR11 @HIPAA,5
AUTO-1,1c769068-d34b-4f3f-8773-a47b85b317e9,,Must,1c769068-d34b-4f3f-8773-a47b85b317e9_AC1,@priority_Must @req_AUTO-1 @FDA21CFR11 @HIPAA,13
AUTO-1,1c769068-d34b-4f3f-8773-a47b85b317e9,,Must,1c769068-d34b-4f3f-8773-a47b85b317e9_AC2,@priority_Must @req_AUTO-1 @FDA21CFR11 @HIPAA,13
2,500e0684-4312-4151-a3b7-c3dd1dcf7009,,Must,500e0684-4312-4151-a3b7-c3dd1dcf7009_AC1,@priority_Must @req_2 @FDA21CFR11 @HIPAA,8
1,dfdaa63c-66d2-43b9-b9b4-ce5fa47516dc,,Must,dfdaa63c-66d2-43b9-b9b4-ce5fa47516dc_AC1,@priority_Must @req_1,4
1,dfdaa63c-66d2-43b9-b9b4-ce5fa47516dc,,Must,dfdaa63c-66d2-43b9-b9b4-ce5fa47516dc_AC2,@priority_Must @req_1,4
1.2,5aba8e2f-ea8b-49af-851e-9c4e8523fc7a,,Must,5aba8e2f-ea8b-49af-851e-9c4e8523fc7a_AC1,@priority_Must @req_1.2,4
1.2,5aba8e2f-ea8b-49af-851e-9c4e8523fc7a,,Must,5aba8e2f-ea8b-49af-851e-9c4e8523fc7a_AC2,@priority_Must @req_1.2,4
1.3,3d21ba8d-59f4-4cdf-998b-7d43d16e41e9,,Must,3d21ba8d-59f4-4cdf-998b-7d43d16e41e9_AC1,@priority_Must @req_1.3 @FDA21CFR11 @HIPAA,4;5
1.5,4635d6f2-0127-4824-a06f-fdd1c02244d6,,Must,4635d6f2-0127-4824-a06f-fdd1c02244d6_AC1,@priority_Must @req_1.5 @FDA21CFR11 @HIPAA,5
2,43c457f2-1664-4641-9584-575ef7fa8daf,,Must,43c457f2-1664-4641-9584-575ef7fa8daf_AC1,@priority_Must @req_2 @FDA21CFR11 @HIPAA,6
2.1,afcd9496-0c34-4f0a-9ad5-c9a1b3bdd461,Implement Clinician Portal,Must,afcd9496-0c34-4f0a-9ad5-c9a1b3bdd461_AC1,@priority_Must @req_2.1 @HIPAA,6
