Test Case Title,Step Action,Step Expected,Requirement ID,Priority,Tags,Pages,Story Id,Epic,Area Path,Iteration Path
"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",the Nurse is logged into the Clinician Portal | the Nurse selects a patient,the system displays the digitized patient assessments and care plans,1.1,Must,@priority_Must @req_1.1 @FDA21CFR11 @HIPAA,4;6,f98946cb-4ad8-4390-82f3-64d40a19fd3a,Digitize patient records and automate tracking.,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view patient documents and clinical information in an organized manner, so that I can efficiently manage patient care.",I am logged into the clinician portal. | I select a patient.,I can view the patient's documents and clinical information in an organized format.,1.4,Must,@priority_Must @req_1.4 @FDA21CFR11 @HIPAA,5;6,90689e1e-f46a-45af-8851-bfceedbcb8af,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view scanned documents associated with a patient, so that I can review their medical history and current condition.",I am logged into the clinician portal and viewing a patient's record. | I navigate to the 'Documents' section of the patient's record.,"I should see a list of scanned documents associated with the patient, including relevant metadata (e.g., date, document type).",AUTO-8,Must,@priority_Must @req_AUTO-8 @FDA21CFR11 @HIPAA,5;6,1a6beea2-e383-49a8-bed9-d3b109fcf089,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view patient data in the clinician portal so that I can efficiently review patient information and make informed decisions.",I am logged into the clinician portal as a Doctor. | I select a patient from the patient list.,I can view the patient's relevant documents and clinical information in an organized manner.,2.1.1,Must,@priority_Must @req_2.1.1 @HIPAA,6,32709e0c-9ce0-4732-b259-6a774150c773,Implement Clinician Portal,Healthcare\DayHealth,Release 1
"As a Doctor, I want to quickly access and review patient data in an organized manner so that I can make informed decisions about patient care.",I am logged into the Clinician Portal. | I search for a specific patient.,I can view the patient's relevant clinical information and documents in a clear and organized format.,2.1.2,Must,@priority_Must @req_2.1.2 @HIPAA,6;13,87f1b783-4415-4625-a857-71daeb141c88,Clinician Portal Development,Healthcare\DayHealth,Release 1
"As a Doctor, I want to quickly access and review patient data in an organized manner so that I can make informed decisions about patient care.","I am viewing a patient's record. | I navigate to different sections of the record (e.g., vitals, medications, reports).",The information loads quickly and is easy to understand.,2.1.2,Must,@priority_Must @req_2.1.2 @HIPAA,6;13,87f1b783-4415-4625-a857-71daeb141c88,Clinician Portal Development,Healthcare\DayHealth,Release 1
"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",I am a patient at Day Health and have a scheduled session. | I use the Session App fingerprint scanner.,My attendance is recorded for Day Health and the specific session.,2.1.3,Must,@priority_Must @req_2.1.3 @FDA21CFR11 @HIPAA,9;10,941bbd34-161a-4e55-bbba-6c41578c2948,,Healthcare\DayHealth,Release 1
"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",The system is running and data is being modified | A change is made to any table in the database,The previous state of the table is stored along with the changes made.,2.3.2.1,Must,@priority_Must @req_2.3.2.1 @FDA21CFR11 @HIPAA,6,3a7348c6-9d48-44a5-8a43-55011ef33840,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign in for the day so that my attendance is recorded.",I am a patient at Day-Health | I use the fingerprint scanner,my attendance for the day is recorded in the system,2.3.2.2,Must,@priority_Must @req_2.3.2.2,6;9;10,1411b04a-de77-47b0-8d07-b4f1334ee556,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",I am a patient in the system. | I sign out for the day.,My sign-out time is stored in the system.,2.3.2.3,Must,@priority_Must @req_2.3.2.3 @FDA21CFR11 @HIPAA,6,a005aa9d-ae37-4769-846d-e9488569b8d3,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign in for sessions so that my attendance is recorded.",The patient is present at the session location. | The patient uses the fingerprint scanner to sign in.,The system records the patient's attendance for the session.,2.3.2.4,Must,@priority_Must @req_2.3.2.4 @FDA21CFR11 @HIPAA,6;9,9635bd1e-ce34-4538-b0f2-ffe5d74d95cb,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign out for sessions so that my attendance is accurately recorded.",I am a patient attending a session | I sign out using the fingerprint scanner,My sign-out time is stored in the system,2.3.2.5,Must,@priority_Must @req_2.3.2.5,6;9,42ceb12f-45ff-46ed-b72d-4f983e062f44,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to store new documents in the database, so that patient information is readily available and up-to-date.","I am a logged-in Clinician with appropriate write access. | I upload a new patient document (e.g., assessment, lab result).",The document is securely stored in the database and linked to the correct patient record.,2.3.2.6,Must,@priority_Must @req_2.3.2.6 @FDA21CFR11 @HIPAA,6;8;11,af0ddb1a-e1db-4efd-b9ce-ce15b14ba84f,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to add a patient's care plan so that I can manage and track their treatment effectively.","I am logged in as a Clinician and have selected a patient. | I enter the details of the patient's care plan, including goals, interventions, and schedule.",The care plan is stored in the system and associated with the patient's record.,2.3.2.7,Must,@priority_Must @req_2.3.2.7 @FDA21CFR11 @HIPAA,6;11,c863f4a5-746e-41c6-85ec-e67d54f65b76,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store patient care plans so that I can easily access and manage them within the system.",The doctor is logged into the system. | The doctor creates or updates a patient's care plan.,"The care plan is stored securely in the database, adhering to HIPAA regulations.",2.3.2.8,Must,@priority_Must @req_2.3.2.8 @HIPAA,6,dc799229-07ec-41dd-b005-b7df7d4287ab,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track reviews of care plans so that I can ensure patient care plans are regularly evaluated and updated.",A care plan exists for a patient | A doctor reviews the care plan,The system should record the review date and the doctor who performed the review.,2.3.2.9,Must,@priority_Must @req_2.3.2.9 @HIPAA,6,ecde75f7-5ad2-4a0e-b041-0eb1992fe872,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track approval of care plans so that I can ensure proper authorization and compliance.",A care plan exists for a patient | The care plan is submitted for approval,"The system should record the approval status, approver, and timestamp.",2.3.2.10,Must,@priority_Must @req_2.3.2.10 @FDA21CFR11 @HIPAA,6,28bed99a-90da-43ca-b3f5-091d2422fad4,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store care plan updates and changes, so that I can maintain an accurate and up-to-date record of patient care.",A care plan exists for a patient | The Doctor updates the care plan,The system stores the updated care plan and tracks the changes made.,2.3.2.11,Must,@priority_Must @req_2.3.2.11 @FDA21CFR11 @HIPAA,6;14,7d2b7ed2-d5dc-4fec-a5c7-a7fe3747e22b,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store tracks so that I can monitor patient progress over time.","The system is running and a patient record is open. | I input track data (e.g., therapy session attendance, medication adherence).",The system stores the track data securely and associates it with the correct patient record.,2.3.2.12,Should,@priority_Should @req_2.3.2.12 @FDA21CFR11 @HIPAA,6,9c50f791-751b-4c5e-8f26-721780a84f12,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to store classes so that I can manage patient schedules and track attendance.","The clinician is logged into the system. | The clinician creates a new class with relevant details (name, time, date, location, instructor).",The system stores the class information in the database.,2.3.2.13,Should,@priority_Should @req_2.3.2.13 @HIPAA,6;11,b2d89ccf-7954-4c23-82b2-23c288c68532,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to store classes so that I can manage patient schedules and track attendance.","A class exists in the system. | The clinician updates the class details (e.g., time, location, instructor).",The system updates the class information in the database.,2.3.2.13,Should,@priority_Should @req_2.3.2.13 @HIPAA,6;11,b2d89ccf-7954-4c23-82b2-23c288c68532,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to link patients to classes so that I can manage patient schedules and track participation.",I am a clinician with appropriate privileges. | I attempt to link a patient to a class.,The system should allow me to associate the patient with the selected class.,2.3.2.14,Must,@priority_Must @req_2.3.2.14,6;8,7f066a03-13ee-4819-864c-1681e53ae77c,,Healthcare\DayHealth,Release 1
"As a Nurse, I want to store schedules, so that I can manage patient appointments and staff availability.",I am logged in as a Nurse. | I enter schedule information for patients and staff.,The system stores the schedule information in the database.,2.3.2.15,Must,@priority_Must @req_2.3.2.15,6,1fe9722a-8020-4063-af1b-36296612b1f9,,Healthcare\DayHealth,Release 1
"As a user, I want to store sessions so that patient session data is recorded and accessible.",The user has the appropriate permissions | The user inputs session data,The session data is stored securely in the system,2.3.2.16,Must,@priority_Must @req_2.3.2.16 @FDA21CFR11 @HIPAA,6,4a1e8681-5f16-49a3-8c60-c681ba4fc6c7,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store group notes for sessions so that I can easily track patient progress in group settings.",A session exists in the system | I enter group notes for the session,The group notes are stored securely and associated with the session.,2.3.2.18,Should,@priority_Should @req_2.3.2.18 @FDA21CFR11 @HIPAA,6,8427850f-347e-424d-b795-d9ded4623457,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store individual notes for sessions, so that I can track patient progress and tailor treatment plans effectively.",A session exists for a patient | I enter notes related to the session,"The notes are stored securely and associated with that specific session and patient, adhering to HIPAA regulations.",2.3.2.19,Must,@priority_Must @req_2.3.2.19 @FDA21CFR11 @HIPAA,6;8,9260a64d-e8f4-457f-9be0-1b53e2986763,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to track reviews of care plans so that I can ensure patients are receiving appropriate and timely care.",A care plan exists for a patient. | A doctor reviews the care plan.,The system should record the review date and the doctor who performed the review.,2.3.2.9,Should,@priority_Should @req_2.3.2.9 @FDA21CFR11 @HIPAA,6,de14bc98-5d96-4757-b94b-5bbf13e3fa72,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to view the Assessment timeline so that I can easily track patient progress.",I am logged into the system as a Doctor and viewing a patient's record. | I navigate to the Assessments section.,"I should see a timeline displaying the patient's assessment history, including dates and key milestones, calculated automatically.",2.3.2.21,Should,@priority_Should @req_2.3.2.21,7,98ce1741-927d-4fda-b125-c863f0f351c9,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to calculate who is billable based on dates, so that the billing process can be streamlined and accurate.","The system has patient data, session information, and billing rules. | I request to determine billable patients for a specific date range.","The system accurately calculates and displays a list of patients who are billable, based on the defined rules and available data.",2.3.2.22,Must,@priority_Must @req_2.3.2.22,7,cd765656-fc43-4a95-9a5f-d4ba1786cd39,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to keep track of what claims have been sent for, so that I can efficiently manage billing and ensure accurate revenue cycle management.",The system contains patient and session data. | A claim is submitted for a patient's session.,"The system records the details of the claim, including patient, session, date, and services billed.",2.3.2.23,Must,@priority_Must @req_2.3.2.23 @FDA21CFR11 @HIPAA,7,87605989-5a9d-4b48-ae77-a324c0f8391c,,Healthcare\DayHealth,Release 1
"As a User, I want to keep track of claims that have been accepted or denied so that I can manage billing effectively.",The system has processed a claim | The claim is accepted or denied,The system should record the acceptance or denial status of the claim.,2.3.2.24,Must,@priority_Must @req_2.3.2.24 @FDA21CFR11 @HIPAA,7,ce60d853-faf0-4b58-856f-07e65251602c,,Healthcare\DayHealth,Release 1
"As a system, I want to have stored procedures for calculations within the database so that data processing is efficient and consistent.",The database is operational | A calculation is required,The appropriate stored procedure is executed,2.3.2.25,Must,@priority_Must @req_2.3.2.25,7,4e070493-8359-497d-b734-636762394d8a,,Healthcare\DayHealth,Release 1
"As a system, I want to have stored procedures for calculations within the database so that data processing is efficient and consistent.",A new calculation is needed | A developer creates a stored procedure,The stored procedure is stored in the database,2.3.2.25,Must,@priority_Must @req_2.3.2.25,7,4e070493-8359-497d-b734-636762394d8a,,Healthcare\DayHealth,Release 1
