Issue Type,Project Key,Summary,Priority,Labels,Requirement Keys,Test Type,Step Action,Step Data,Step Result,Description,Tags,Pages,Story Id,Epic
Test,,"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",Must,"auto-generated,vertex-ai,traceable",1.1,Manual,the Nurse is logged into the Clinician Portal | the Nurse selects a patient,,the system displays the digitized patient assessments and care plans,"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",@priority_Must @req_1.1 @FDA21CFR11 @HIPAA,4;6,f98946cb-4ad8-4390-82f3-64d40a19fd3a,Digitize patient records and automate tracking.
Test,,"As a Doctor, I want to view patient documents and clinical information in an organized manner, so that I can efficiently manage patient care.",Must,"auto-generated,vertex-ai,traceable",1.4,Manual,I am logged into the clinician portal. | I select a patient.,,I can view the patient's documents and clinical information in an organized format.,"As a Doctor, I want to view patient documents and clinical information in an organized manner, so that I can efficiently manage patient care.",@priority_Must @req_1.4 @FDA21CFR11 @HIPAA,5;6,90689e1e-f46a-45af-8851-bfceedbcb8af,
Test,,"As a Doctor, I want to view scanned documents associated with a patient, so that I can review their medical history and current condition.",Must,"auto-generated,vertex-ai,traceable",AUTO-8,Manual,I am logged into the clinician portal and viewing a patient's record. | I navigate to the 'Documents' section of the patient's record.,,"I should see a list of scanned documents associated with the patient, including relevant metadata (e.g., date, document type).","As a Doctor, I want to view scanned documents associated with a patient, so that I can review their medical history and current condition.",@priority_Must @req_AUTO-8 @FDA21CFR11 @HIPAA,5;6,1a6beea2-e383-49a8-bed9-d3b109fcf089,
Test,,"As a Doctor, I want to view patient data in the clinician portal so that I can efficiently review patient information and make informed decisions.",Must,"auto-generated,vertex-ai,traceable",2.1.1,Manual,I am logged into the clinician portal as a Doctor. | I select a patient from the patient list.,,I can view the patient's relevant documents and clinical information in an organized manner.,"As a Doctor, I want to view patient data in the clinician portal so that I can efficiently review patient information and make informed decisions.",@priority_Must @req_2.1.1 @HIPAA,6,32709e0c-9ce0-4732-b259-6a774150c773,Implement Clinician Portal
Test,,"As a Doctor, I want to quickly access and review patient data in an organized manner so that I can make informed decisions about patient care.",Must,"auto-generated,vertex-ai,traceable",2.1.2,Manual,I am logged into the Clinician Portal. | I search for a specific patient.,,I can view the patient's relevant clinical information and documents in a clear and organized format.,"As a Doctor, I want to quickly access and review patient data in an organized manner so that I can make informed decisions about patient care.",@priority_Must @req_2.1.2 @HIPAA,6;13,87f1b783-4415-4625-a857-71daeb141c88,Clinician Portal Development
Test,,"As a Doctor, I want to quickly access and review patient data in an organized manner so that I can make informed decisions about patient care.",Must,"auto-generated,vertex-ai,traceable",2.1.2,Manual,"I am viewing a patient's record. | I navigate to different sections of the record (e.g., vitals, medications, reports).",,The information loads quickly and is easy to understand.,"As a Doctor, I want to quickly access and review patient data in an organized manner so that I can make informed decisions about patient care.",@priority_Must @req_2.1.2 @HIPAA,6;13,87f1b783-4415-4625-a857-71daeb141c88,Clinician Portal Development
Test,,"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",Must,"auto-generated,vertex-ai,traceable",2.1.3,Manual,I am a patient at Day Health and have a scheduled session. | I use the Session App fingerprint scanner.,,My attendance is recorded for Day Health and the specific session.,"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",@priority_Must @req_2.1.3 @FDA21CFR11 @HIPAA,9;10,941bbd34-161a-4e55-bbba-6c41578c2948,
Test,,"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",Must,"auto-generated,vertex-ai,traceable",2.3.2.1,Manual,The system is running and data is being modified | A change is made to any table in the database,,The previous state of the table is stored along with the changes made.,"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",@priority_Must @req_2.3.2.1 @FDA21CFR11 @HIPAA,6,3a7348c6-9d48-44a5-8a43-55011ef33840,
Test,,"As a Patient, I want to sign in for the day so that my attendance is recorded.",Must,"auto-generated,vertex-ai,traceable",2.3.2.2,Manual,I am a patient at Day-Health | I use the fingerprint scanner,,my attendance for the day is recorded in the system,"As a Patient, I want to sign in for the day so that my attendance is recorded.",@priority_Must @req_2.3.2.2,6;9;10,1411b04a-de77-47b0-8d07-b4f1334ee556,
Test,,"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",Must,"auto-generated,vertex-ai,traceable",2.3.2.3,Manual,I am a patient in the system. | I sign out for the day.,,My sign-out time is stored in the system.,"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",@priority_Must @req_2.3.2.3 @FDA21CFR11 @HIPAA,6,a005aa9d-ae37-4769-846d-e9488569b8d3,
Test,,"As a Patient, I want to sign in for sessions so that my attendance is recorded.",Must,"auto-generated,vertex-ai,traceable",2.3.2.4,Manual,The patient is present at the session location. | The patient uses the fingerprint scanner to sign in.,,The system records the patient's attendance for the session.,"As a Patient, I want to sign in for sessions so that my attendance is recorded.",@priority_Must @req_2.3.2.4 @FDA21CFR11 @HIPAA,6;9,9635bd1e-ce34-4538-b0f2-ffe5d74d95cb,
Test,,"As a Patient, I want to sign out for sessions so that my attendance is accurately recorded.",Must,"auto-generated,vertex-ai,traceable",2.3.2.5,Manual,I am a patient attending a session | I sign out using the fingerprint scanner,,My sign-out time is stored in the system,"As a Patient, I want to sign out for sessions so that my attendance is accurately recorded.",@priority_Must @req_2.3.2.5,6;9,42ceb12f-45ff-46ed-b72d-4f983e062f44,
Test,,"As a Clinician, I want to store new documents in the database, so that patient information is readily available and up-to-date.",Must,"auto-generated,vertex-ai,traceable",2.3.2.6,Manual,"I am a logged-in Clinician with appropriate write access. | I upload a new patient document (e.g., assessment, lab result).",,The document is securely stored in the database and linked to the correct patient record.,"As a Clinician, I want to store new documents in the database, so that patient information is readily available and up-to-date.",@priority_Must @req_2.3.2.6 @FDA21CFR11 @HIPAA,6;8;11,af0ddb1a-e1db-4efd-b9ce-ce15b14ba84f,
