Test Case Title,Step Action,Step Expected,Requirement ID,Priority,Tags,Pages,Story Id,Epic,Area Path,Iteration Path
"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",I am logged into the Clinician Portal. | I search for a patient's record.,I can view digitized assessments and care plans for that patient.,1.1,Must,@priority_Must @req_1.1 @FDA21CFR11 @HIPAA,4;6,7c4c1495-1f6d-4462-bd63-191fd15ea6ba,Digitize patient records and automate tracking.,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient data through the clinician portal so that I can review patient information efficiently.",I am logged into the clinician portal. | I search for and select a patient.,"I can view the patient's data, including scanned documents and session information.",1.4,Must,@priority_Must @req_1.4 @FDA21CFR11 @HIPAA,5;6,855160d4-16c6-4f25-a186-5279dcbbcfd3,"Replace Trillium's current system with a new system including database, clinician portal, and session application.",Healthcare\DayHealth,Release 1
"As a Doctor, I want to access patient clinical information in the clinician portal so that I can efficiently review patient data and make informed decisions.",the Doctor is logged into the clinician portal. | the Doctor searches for a specific patient.,"the Doctor should be able to view the patient's clinical information, including relevant documents and related data.",2.1.1,Must,@priority_Must @req_2.1.1 @FDA21CFR11 @HIPAA,6,a99367a2-ad05-4a4b-a4d2-91390abb0115,Implement Database for Trillium Health,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.",I am logged into the clinician portal. | I search for a patient.,I can view the patient's relevant clinical information and documents in an organized manner.,2.1.2,Must,@priority_Must @req_2.1.2 @HIPAA,6;13,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development,Healthcare\DayHealth,Release 1
"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.","I am viewing a patient's record. | I navigate to different sections of the record (e.g., vitals, medications, history).",The information loads quickly and is presented in a clear and understandable format.,2.1.2,Must,@priority_Must @req_2.1.2 @HIPAA,6;13,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development,Healthcare\DayHealth,Release 1
"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",I am a patient at Day Health and have a scheduled session. | I use the fingerprint scanner at check-in.,My attendance for Day Health and the specific session is automatically recorded.,2.1.3,Must,@priority_Must @req_2.1.3 @FDA21CFR11 @HIPAA,9;10,bf688cd2-f118-4e36-9bfd-432eebbbf55d,,Healthcare\DayHealth,Release 1
"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",A table in the database has been modified | The system saves the changes,The previous state of the table is stored along with the changes made.,2.3.2.1,Must,@priority_Must @req_2.3.2.1 @FDA21CFR11 @HIPAA,6,3d373e82-3575-4b20-9827-bdae31729eb9,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign in for the day using a fingerprint scanner, so that my attendance is recorded accurately.",I am a patient arriving for the day. | I use the fingerprint scanner.,My attendance is recorded in the system.,2.3.2.2,Must,@priority_Must @req_2.3.2.2,6;9,d91e5c35-9555-4982-a8f8-914a055ddd85,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",I am a patient in the system. | I sign out for the day.,My sign-out time is stored in the system.,2.3.2.3,Must,@priority_Must @req_2.3.2.3,6,f97ac7d0-f8b7-4ec7-a54a-59bb9f9413b5,,Healthcare\DayHealth,Release 1
"As a Patient, I want to sign in for sessions, so that my attendance is recorded.",I am a patient scheduled for a session | I use the fingerprint scanner,the system records my attendance for the session,2.3.2.4,Must,@priority_Must @req_2.3.2.4 @FDA21CFR11 @HIPAA,6;9,f5517b01-024f-492c-86ba-ac2788e2b5d3,,Healthcare\DayHealth,Release 1
"As a Facilitator, I want to confirm session attendance taken through fingerprint scanner so that I can ensure accurate records of patient participation.",The system has recorded session attendance via fingerprint scanner. | I access the session attendance records.,I can confirm the attendance data is accurate.,2.3.2.5,Must,@priority_Must @req_2.3.2.5,6;9,527f103d-1603-40cf-8198-6b8dfa457f4d,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to store new documents in the database, so that I can maintain a comprehensive record of patient information.",I am a logged-in Clinician. | I upload a new patient document.,"The document is successfully stored in the database, adhering to HIPAA and FDA 21 CFR Part 11 constraints.",2.3.2.6,Must,@priority_Must @req_2.3.2.6 @FDA21CFR11 @HIPAA,6;8,8a313ed6-cc82-4a0a-aa97-e9cc92a97687,,Healthcare\DayHealth,Release 1
"As a Clinician, I want to add a patient's care plan so that I can manage and track their treatment effectively.",I am logged in as a Clinician. | I add a new care plan for a patient.,The care plan is stored in the system and linked to the patient's record.,2.3.2.7,Must,@priority_Must @req_2.3.2.7 @FDA21CFR11 @HIPAA,6;11,db06f16a-6a36-452a-9a1f-e617be30c0f6,,Healthcare\DayHealth,Release 1
"As a Doctor, I want to store patient care plans so that I can easily access and manage them within the system.",The doctor is logged into the system and has selected a patient. | The doctor creates or updates a patient care plan.,"The system should store the care plan securely in the database, adhering to HIPAA regulations.",2.3.2.8,Must,@priority_Must @req_2.3.2.8 @HIPAA,6,0f91a6e9-817f-46c8-9026-3f6ee1ebd75d,,Healthcare\DayHealth,Release 1
