Requirement ID,Story Id,Epic,Priority,User Story,Pages (Citations),Alignment Score,Needs Review,Matched Clauses,Clause Scores,Expected Controls,Detected Controls,Missing Controls,Evidence (Story + Steps)
1.1,7c4c1495-1f6d-4462-bd63-191fd15ea6ba,Digitize patient records and automate tracking.,Must,"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",4;4;6,0.449,False,FDA 21 CFR Part 11 11.10(e); FDA 21 CFR Part 11 11.100; ISO 13485 4.2.5; ISO 27001 A.9,0.63; 0.61; 0.601; 0.552,audit_trail; data_integrity; e_signature; rbac; traceability,,audit_trail; data_integrity; e_signature; rbac; traceability,"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.
GIVEN I am logged into the Clinician Portal.
WHEN I search for a patient's record.
THEN I can view digitized assessments and care plans for that patient.
The system must comply with HIPAA regulations.
The system must comply with FDA 21 CFR Part 11 regulations.
I am logged into the Clinician Portal. | I search for a patient's record.
I can view digitized assessments and care plans for that patient."
1.4,855160d4-16c6-4f25-a186-5279dcbbcfd3,"Replace Trillium's current system with a new system including database, clinician portal, and session application.",Must,"As a Doctor, I want to access patient data through the clinician portal so that I can review patient information efficiently.",5;5;6,0.179,False,FDA 21 CFR Part 11 11.10(e); FDA 21 CFR Part 11 11.100; ISO 13485 4.2.5; ISO 27001 A.9,0.626; 0.594; 0.58; 0.56,audit_trail; data_integrity; e_signature; rbac; traceability,,audit_trail; data_integrity; e_signature; rbac; traceability,"As a Doctor, I want to access patient data through the clinician portal so that I can review patient information efficiently.
GIVEN I am logged into the clinician portal.
WHEN I search for and select a patient.
THEN I can view the patient's data, including scanned documents and session information.
The system must comply with HIPAA regulations.
The system must comply with FDA 21 CFR Part 11 regulations.
I am logged into the clinician portal. | I search for and select a patient.
I can view the patient's data, including scanned documents and session information."
2.1.1,a99367a2-ad05-4a4b-a4d2-91390abb0115,Implement Database for Trillium Health,Must,"As a Doctor, I want to access patient clinical information in the clinician portal so that I can efficiently review patient data and make informed decisions.",6;6,0.622,False,FDA 21 CFR Part 11 11.10(e); FDA 21 CFR Part 11 11.100; ISO 13485 4.2.5; ISO 27001 A.9,0.612; 0.58; 0.573; 0.56,audit_trail; data_integrity; e_signature; rbac; traceability,,audit_trail; data_integrity; e_signature; rbac; traceability,"As a Doctor, I want to access patient clinical information in the clinician portal so that I can efficiently review patient data and make informed decisions.
GIVEN the Doctor is logged into the clinician portal.
WHEN the Doctor searches for a specific patient.
THEN the Doctor should be able to view the patient's clinical information, including relevant documents and related data.
The system must comply with HIPAA regulations.
The system must comply with FDA 21 CFR Part 11 regulations.
the Doctor is logged into the clinician portal. | the Doctor searches for a specific patient.
the Doctor should be able to view the patient's clinical information, including relevant documents and related data."
2.1.2,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development,Must,"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.",6;13,0.222,False,ISO 13485 4.2.5; FDA 21 CFR Part 11 11.10(e); ISO 27001 A.9; FDA 21 CFR Part 11 11.100,0.549; 0.549; 0.542; 0.512,audit_trail; data_integrity; e_signature; rbac; traceability,,audit_trail; data_integrity; e_signature; rbac; traceability,"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.
GIVEN I am logged into the clinician portal.
WHEN I search for a patient.
THEN I can view the patient's relevant clinical information and documents in an organized manner.
GIVEN I am viewing a patient's record.
WHEN I navigate to different sections of the record (e.g., vitals, medications, history).
THEN The information loads quickly and is presented in a clear and understandable format.
The clinician portal must be HIPAA compliant.
The clinician portal must be accessible through common web browsers.
The clinician portal must be easy to learn and navigate quickly (page 13).
I am logged into the clinician portal. | I search for a patient.
I can view the patient's relevant clinical information and documents in an organized manner.
I am viewing a patient's record. | I navigate to different sections of the record (e.g., vitals, medications, history).
The information loads quickly and is presented in a clear and understandable format."
2.1.3,bf688cd2-f118-4e36-9bfd-432eebbbf55d,,Must,"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",10;9,0.184,False,FDA 21 CFR Part 11 11.100; FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 9001 8.5.1,0.613; 0.608; 0.558; 0.543,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.
GIVEN I am a patient at Day Health and have a scheduled session.
WHEN I use the fingerprint scanner at check-in.
THEN My attendance for Day Health and the specific session is automatically recorded.
HIPAA compliance for patient data security.
FDA 21 CFR Part 11 compliance for electronic records.
I am a patient at Day Health and have a scheduled session. | I use the fingerprint scanner at check-in.
My attendance for Day Health and the specific session is automatically recorded."
2.3.2.1,3d373e82-3575-4b20-9827-bdae31729eb9,,Must,"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",6,1.0,False,FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.9; ISO 27001 A.10,0.697; 0.601; 0.581; 0.569,audit_trail; data_integrity; encryption; rbac; traceability,,audit_trail; data_integrity; encryption; rbac; traceability,"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.
GIVEN A table in the database has been modified
WHEN The system saves the changes
THEN The previous state of the table is stored along with the changes made.
Data must be stored securely and in compliance with HIPAA.
Data storage must comply with FDA 21 CFR Part 11 requirements for audit trails.
A table in the database has been modified | The system saves the changes
The previous state of the table is stored along with the changes made."
2.3.2.2,d91e5c35-9555-4982-a8f8-914a055ddd85,,Must,"As a Patient, I want to sign in for the day using a fingerprint scanner, so that my attendance is recorded accurately.",6;9,0.5,False,FDA 21 CFR Part 11 11.100; FDA 21 CFR Part 11 11.10(e); ISO 9001 8.5.1; ISO 13485 4.2.5,0.584; 0.551; 0.548; 0.547,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,"As a Patient, I want to sign in for the day using a fingerprint scanner, so that my attendance is recorded accurately.
GIVEN I am a patient arriving for the day.
WHEN I use the fingerprint scanner.
THEN My attendance is recorded in the system.
I am a patient arriving for the day. | I use the fingerprint scanner.
My attendance is recorded in the system."
2.3.2.3,f97ac7d0-f8b7-4ec7-a54a-59bb9f9413b5,,Must,"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",6,1.0,False,FDA 21 CFR Part 11 11.100; FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 9001 8.5.1,0.544; 0.543; 0.543; 0.531,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.
GIVEN I am a patient in the system.
WHEN I sign out for the day.
THEN My sign-out time is stored in the system.
I am a patient in the system. | I sign out for the day.
My sign-out time is stored in the system."
2.3.2.4,f5517b01-024f-492c-86ba-ac2788e2b5d3,,Must,"As a Patient, I want to sign in for sessions, so that my attendance is recorded.",6;9,0.385,False,FDA 21 CFR Part 11 11.100; FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 27001 A.10,0.651; 0.631; 0.555; 0.532,audit_trail; data_integrity; e_signature; encryption; rbac; traceability,,audit_trail; data_integrity; e_signature; encryption; rbac; traceability,"As a Patient, I want to sign in for sessions, so that my attendance is recorded.
GIVEN I am a patient scheduled for a session
WHEN I use the fingerprint scanner
THEN the system records my attendance for the session
HIPAA
FDA 21 CFR Part 11
I am a patient scheduled for a session | I use the fingerprint scanner
the system records my attendance for the session"
2.3.2.5,527f103d-1603-40cf-8198-6b8dfa457f4d,,Must,"As a Facilitator, I want to confirm session attendance taken through fingerprint scanner so that I can ensure accurate records of patient participation.",9;6,0.4,False,FDA 21 CFR Part 11 11.100; FDA 21 CFR Part 11 11.10(e); ISO 13485 4.2.5; ISO 9001 8.5.1,0.566; 0.564; 0.556; 0.54,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,,audit_trail; data_integrity; e_signature; rbac; traceability; verification_validation,"As a Facilitator, I want to confirm session attendance taken through fingerprint scanner so that I can ensure accurate records of patient participation.
GIVEN The system has recorded session attendance via fingerprint scanner.
WHEN I access the session attendance records.
THEN I can confirm the attendance data is accurate.
The system has recorded session attendance via fingerprint scanner. | I access the session attendance records.
I can confirm the attendance data is accurate."
