Issue Type,Project Key,Summary,Priority,Labels,Requirement Keys,Test Type,Step Action,Step Data,Step Result,Description,Tags,Pages,Story Id,Epic
Test,,"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",Must,"auto-generated,vertex-ai,traceable",1.1,Manual,I am logged into the Clinician Portal. | I search for a patient's record.,,I can view digitized assessments and care plans for that patient.,"As a Nurse, I want to access digitized patient assessments and care plans so that I can efficiently review patient information and update vitals.",@priority_Must @req_1.1 @FDA21CFR11 @HIPAA,4;6,7c4c1495-1f6d-4462-bd63-191fd15ea6ba,Digitize patient records and automate tracking.
Test,,"As a Doctor, I want to access patient data through the clinician portal so that I can review patient information efficiently.",Must,"auto-generated,vertex-ai,traceable",1.4,Manual,I am logged into the clinician portal. | I search for and select a patient.,,"I can view the patient's data, including scanned documents and session information.","As a Doctor, I want to access patient data through the clinician portal so that I can review patient information efficiently.",@priority_Must @req_1.4 @FDA21CFR11 @HIPAA,5;6,855160d4-16c6-4f25-a186-5279dcbbcfd3,"Replace Trillium's current system with a new system including database, clinician portal, and session application."
Test,,"As a Doctor, I want to access patient clinical information in the clinician portal so that I can efficiently review patient data and make informed decisions.",Must,"auto-generated,vertex-ai,traceable",2.1.1,Manual,the Doctor is logged into the clinician portal. | the Doctor searches for a specific patient.,,"the Doctor should be able to view the patient's clinical information, including relevant documents and related data.","As a Doctor, I want to access patient clinical information in the clinician portal so that I can efficiently review patient data and make informed decisions.",@priority_Must @req_2.1.1 @FDA21CFR11 @HIPAA,6,a99367a2-ad05-4a4b-a4d2-91390abb0115,Implement Database for Trillium Health
Test,,"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.",Must,"auto-generated,vertex-ai,traceable",2.1.2,Manual,I am logged into the clinician portal. | I search for a patient.,,I can view the patient's relevant clinical information and documents in an organized manner.,"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.",@priority_Must @req_2.1.2 @HIPAA,6;13,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development
Test,,"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.",Must,"auto-generated,vertex-ai,traceable",2.1.2,Manual,"I am viewing a patient's record. | I navigate to different sections of the record (e.g., vitals, medications, history).",,The information loads quickly and is presented in a clear and understandable format.,"As a Doctor, I want to access and view patient data quickly and efficiently through the clinician portal, so that I can make informed decisions about patient care.",@priority_Must @req_2.1.2 @HIPAA,6;13,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development
Test,,"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",Must,"auto-generated,vertex-ai,traceable",2.1.3,Manual,I am a patient at Day Health and have a scheduled session. | I use the fingerprint scanner at check-in.,,My attendance for Day Health and the specific session is automatically recorded.,"As a Patient, I want to check in to Day Health and specific sessions using a fingerprint scanner, so that I can easily verify my attendance.",@priority_Must @req_2.1.3 @FDA21CFR11 @HIPAA,9;10,bf688cd2-f118-4e36-9bfd-432eebbbf55d,
Test,,"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",Must,"auto-generated,vertex-ai,traceable",2.3.2.1,Manual,A table in the database has been modified | The system saves the changes,,The previous state of the table is stored along with the changes made.,"As a system, I want to store previous states of all tables with all changes made to them so that data can be recovered and audited.",@priority_Must @req_2.3.2.1 @FDA21CFR11 @HIPAA,6,3d373e82-3575-4b20-9827-bdae31729eb9,
Test,,"As a Patient, I want to sign in for the day using a fingerprint scanner, so that my attendance is recorded accurately.",Must,"auto-generated,vertex-ai,traceable",2.3.2.2,Manual,I am a patient arriving for the day. | I use the fingerprint scanner.,,My attendance is recorded in the system.,"As a Patient, I want to sign in for the day using a fingerprint scanner, so that my attendance is recorded accurately.",@priority_Must @req_2.3.2.2,6;9,d91e5c35-9555-4982-a8f8-914a055ddd85,
Test,,"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",Must,"auto-generated,vertex-ai,traceable",2.3.2.3,Manual,I am a patient in the system. | I sign out for the day.,,My sign-out time is stored in the system.,"As a Patient, I want to sign out for the day so that my attendance is accurately recorded.",@priority_Must @req_2.3.2.3,6,f97ac7d0-f8b7-4ec7-a54a-59bb9f9413b5,
Test,,"As a Patient, I want to sign in for sessions, so that my attendance is recorded.",Must,"auto-generated,vertex-ai,traceable",2.3.2.4,Manual,I am a patient scheduled for a session | I use the fingerprint scanner,,the system records my attendance for the session,"As a Patient, I want to sign in for sessions, so that my attendance is recorded.",@priority_Must @req_2.3.2.4 @FDA21CFR11 @HIPAA,6;9,f5517b01-024f-492c-86ba-ac2788e2b5d3,
