requirement_id,story_id,epic,priority,scenario_id,tags,pages
1.1,7c4c1495-1f6d-4462-bd63-191fd15ea6ba,Digitize patient records and automate tracking.,Must,7c4c1495-1f6d-4462-bd63-191fd15ea6ba_AC1,@priority_Must @req_1.1 @FDA21CFR11 @HIPAA,4;6
1.4,855160d4-16c6-4f25-a186-5279dcbbcfd3,"Replace Trillium's current system with a new system including database, clinician portal, and session application.",Must,855160d4-16c6-4f25-a186-5279dcbbcfd3_AC1,@priority_Must @req_1.4 @FDA21CFR11 @HIPAA,5;6
2.1.1,a99367a2-ad05-4a4b-a4d2-91390abb0115,Implement Database for Trillium Health,Must,a99367a2-ad05-4a4b-a4d2-91390abb0115_AC1,@priority_Must @req_2.1.1 @FDA21CFR11 @HIPAA,6
2.1.2,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development,Must,5dd0d188-2605-4668-8305-d3155760a7e6_AC1,@priority_Must @req_2.1.2 @HIPAA,6;13
2.1.2,5dd0d188-2605-4668-8305-d3155760a7e6,Clinician Portal Development,Must,5dd0d188-2605-4668-8305-d3155760a7e6_AC2,@priority_Must @req_2.1.2 @HIPAA,6;13
2.1.3,bf688cd2-f118-4e36-9bfd-432eebbbf55d,,Must,bf688cd2-f118-4e36-9bfd-432eebbbf55d_AC1,@priority_Must @req_2.1.3 @FDA21CFR11 @HIPAA,9;10
2.3.2.1,3d373e82-3575-4b20-9827-bdae31729eb9,,Must,3d373e82-3575-4b20-9827-bdae31729eb9_AC1,@priority_Must @req_2.3.2.1 @FDA21CFR11 @HIPAA,6
2.3.2.2,d91e5c35-9555-4982-a8f8-914a055ddd85,,Must,d91e5c35-9555-4982-a8f8-914a055ddd85_AC1,@priority_Must @req_2.3.2.2,6;9
2.3.2.3,f97ac7d0-f8b7-4ec7-a54a-59bb9f9413b5,,Must,f97ac7d0-f8b7-4ec7-a54a-59bb9f9413b5_AC1,@priority_Must @req_2.3.2.3,6
2.3.2.4,f5517b01-024f-492c-86ba-ac2788e2b5d3,,Must,f5517b01-024f-492c-86ba-ac2788e2b5d3_AC1,@priority_Must @req_2.3.2.4 @FDA21CFR11 @HIPAA,6;9
2.3.2.5,527f103d-1603-40cf-8198-6b8dfa457f4d,,Must,527f103d-1603-40cf-8198-6b8dfa457f4d_AC1,@priority_Must @req_2.3.2.5,6;9
2.3.2.6,8a313ed6-cc82-4a0a-aa97-e9cc92a97687,,Must,8a313ed6-cc82-4a0a-aa97-e9cc92a97687_AC1,@priority_Must @req_2.3.2.6 @FDA21CFR11 @HIPAA,6;8
2.3.2.7,db06f16a-6a36-452a-9a1f-e617be30c0f6,,Must,db06f16a-6a36-452a-9a1f-e617be30c0f6_AC1,@priority_Must @req_2.3.2.7 @FDA21CFR11 @HIPAA,6;11
2.3.2.8,0f91a6e9-817f-46c8-9026-3f6ee1ebd75d,,Must,0f91a6e9-817f-46c8-9026-3f6ee1ebd75d_AC1,@priority_Must @req_2.3.2.8 @HIPAA,6
2.3.2.9,de66dc53-f2fc-4061-b098-f552e7c68520,,Must,de66dc53-f2fc-4061-b098-f552e7c68520_AC1,@priority_Must @req_2.3.2.9 @FDA21CFR11 @HIPAA,6
2.3.2.10,a8bd0686-5690-476f-bb03-1517119db8f3,,Must,a8bd0686-5690-476f-bb03-1517119db8f3_AC1,@priority_Must @req_2.3.2.10 @FDA21CFR11 @HIPAA,6
2.3.2.11,44055438-1f5c-4d0a-921c-812679456594,,Must,44055438-1f5c-4d0a-921c-812679456594_AC1,@priority_Must @req_2.3.2.11 @HIPAA,6;14
